sub_indicator,gender,council_district,value
UNDER 19 YEARS,MALE,15,43057.182
UNDER 19 YEARS,MALE,12,33477.785
UNDER 19 YEARS,MALE,7,37261.436
UNDER 19 YEARS,MALE,11,28400.402
UNDER 19 YEARS,MALE,1,32520.933
UNDER 19 YEARS,MALE,CITY TOTAL,491347
UNDER 19 YEARS,MALE,3,34547.006
UNDER 19 YEARS,MALE,10,29342.291
UNDER 19 YEARS,FEMALE,12,32316.75
UNDER 19 YEARS,FEMALE,9,49648.756
UNDER 19 YEARS,FEMALE,8,36800.107
UNDER 19 YEARS,FEMALE,1,28568.602
UNDER 19 YEARS,FEMALE,2,28429.109
UNDER 19 YEARS,FEMALE,CITY TOTAL,479969
